"","Mound_ID","Shell_ID","Cage_ID","Cage_type","Mound_Num","Site","Sample_dat","Num_spat","Length_1","Length_2","Length_3","Length_4","Length_5","Crabs","Drills","Mound_Treat","Deployment","treatbi","obs"
"1","ClamShoal208",955853,"95585","Roof",208,"Clam Shoal","FAll_2010",4,22.8,34.1,26.6,15.5,NA,0,0,"Late Small","Late","New",1
"2","ClamShoal208",131191,"13119","Small Mesh",208,"Clam Shoal","FAll_2010",8,36,24.9,40,23.9,34.4,1,0,"Late Small","Late","New",2
"3","ClamShoal208",899231,"89923","Open",208,"Clam Shoal","FAll_2010",3,18.1,13.9,9.3,NA,NA,1,0,"Late Small","Late","New",3
"4","ClamShoal208",955863,"95586","Roof",208,"Clam Shoal","Spring_2011",3,37.6,54.5,57,NA,NA,0,4,"Late Small","Late","New",4
"5","ClamShoal208",131191,"13119","Small Mesh",208,"Clam Shoal","Spring_2011",3,56.9,33.7,60.5,NA,NA,7,3,"Late Small","Late","New",5
"6","ClamShoal208",655751,"65575","Control",208,"Clam Shoal","Spring_2011",4,60.4,53.4,33.4,55.2,NA,0,0,"Late Small","Late","New",6
"7","ClamShoal208",655751,"65575","Control",208,"Clam Shoal","FAll_2010",4,32.6,31.9,28.5,21.9,NA,1,0,"Late Small","Late","New",7
"8","ClamShoal208",829421,"82942","Large Mesh",208,"Clam Shoal","FAll_2010",2,30.8,24.6,NA,NA,NA,1,0,"Late Small","Late","New",8
"9","ClamShoal208",829421,"82942","Large Mesh",208,"Clam Shoal","Spring_2011",2,51.5,48.1,NA,NA,NA,1,0,"Late Small","Late","New",9
"10","ClamShoal208",899231,"89923","Open",208,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,0,0,"Late Small","Late","New",10
"11","ClamShoal209",129141,"12914","Small Mesh",209,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,7,0,"Late Large","Late","New",11
"12","ClamShoal209",124703,"12470","Open",209,"Clam Shoal","FAll_2010",23,17.4,9.4,15,16.5,8.2,0,0,"Late Large","Late","New",12
